Label 
A SCANDAL IN BOHEMIA
THE RED-HEADED LEAGUE
A CASE OF IDENTITY
THE BOSCOMBE VALLEY MYSTERY
THE FIVE ORANGE PIPS
THE MAN WITH THE TWISTED LIP
THE ADVENTURE OF THE BLUE CARBUNCLE
THE ADVENTURE OF THE SPECKLED BAND
THE ADVENTURE OF THE ENGINEER’S THUMB
THE ADVENTURE OF THE NOBLE BACHELOR
THE ADVENTURE OF THE BERYL CORONET
THE ADVENTURE OF THE COPPER BEECHES
 Sherlock Holmes 
 John Watson 
 Wilhelm Ormstein 
 Irene Adler 
 Unknown 
 Jabez Wilson 
 Jones 
 Merryweather 
 John Clay 
 Mary Sutherland 
 James Windibank 
 Mary Watson 
 Lestrade 
 Alice Turner 
 John Turner 
 John Openshaw 
 Kate Whitney 
 Isa Whitney 
 Mrs St Clair 
 Bradstreet 
 Neville St Clair 
 Peterson 
 Henry Baker 
 Breckinridge 
 James Ryder 
 Helen Stoner 
 Grimesby Roylott 
 Victor Hatherley 
 Robert St Simon 
 Mrs Moulton 
 Francis Moulton 
 Alexander Holder 
 Mary Holder 
 Violet Hunter 
 Mrs Toller 
 Clotilde Lothman 
 Mrs Turner 
 Hosmer Angel 
 Charles McCarthy 
 James McCarthy 
 Catherine Cusack 
 Mrs Hudson 
 Mrs Oakshott 
 Flora Millar 
 Lady St Simon 
 Arthur Holder 
 George Burnwell 
 Miss Stoper 
 Jephro Rucastle 
 Mrs Rucastle 
 Alice Rucastle 
 Mr Fowler 
